a, dor, desvendar, vastidão, mais
alivia, a
aliviando, a
amor, me
aos, poucos
asa, morena
beijo, muito
com, a
corpo, frágil, com
crescer, de
de, um
desvendar, a
do, teu, meu
dor, aliviando, que
e, o
emoção, me
faz, pequena, ser
forte, unindo
frágil, corpo
gesto, muito
implodindo, aos
louco, me
mais, pura
mata, me
me, faz, alivia, toma, implodindo
meu, corpo
morena, zizi, me
muito, louco, forte
no, crescer, universo
norte, do
num, gesto
o, sul, norte
pensar, num
pequena, asa
possi, me
poucos, no
pura, emoção
que, mata
sem, pensar
ser, teu
sul, e
teu, amor
toma, no, sem
um, beijo
unindo, o
universo, a
vastidão, do
zizi, possi
